🇨🇳｜辽宁频道,#genre#
辽宁卫视,http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8$超清1080P
辽宁卫视,http://222.175.159.226:808/hls/48/index.m3u8$超清1080P
辽宁卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225735/index.m3u8$超清1080P
辽宁卫视,http://111.20.33.70/PLTV/88888893/224/3221226210/index.m3u8$超清1080P
辽宁卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225735/index.m3u8$超清1080P
辽宁卫视,http://111.40.196.39/PLTV/88888888/224/3221225558/index.m3u8$高清720P
辽宁卫视,rtsp://221.203.83.34:554/PLTV/88888888/224/3221226511/10000100000000060000000000394610_0.smil$高清720P
大连新闻,http://live.cooltv.top/tv/cutv.php?id=dlxwzh
大连生活,http://live.cooltv.top/tv/cutv.php?id=dlsh
大连影视,http://live.cooltv.top/tv/cutv.php?id=dlzhys
大连少儿,http://live.cooltv.top/tv/cutv.php?id=dlse
大连生活,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&accesstoken=R5DC39762U309A5010K776E9437IB19E49DFPBM3221EB5V1044EZ33519WE4EA8496423&programid=4200000002
大连影视,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&accesstoken=R5DC39762U309A5010K776E9437IB19E49DFPBM3221EB5V1044EZ33519WE4EA8496423&programid=4200000005
大连少儿,http://httpdvb.slave.ttcatv.tv:13164/playurl?playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&accesstoken=R5DC39762U309A5010K776E9437IB19E49DFPBM3221EB5V1044EZ33519WE4EA8496423&programid=4200000006
辽宁体育,http://42.176.185.28:9901/tsfile/live/1007_1.m3u8
辽宁公共,http://42.176.185.28:9901/tsfile/live/1010_1.m3u8
辽宁北方,http://42.176.185.28:9901/tsfile/live/1011_1.m3u8
辽宁影视剧,http://42.176.185.28:9901/tsfile/live/1012_1.m3u8
辽宁教育,http://42.176.185.28:9901/tsfile/live/1008_1.m3u8
辽宁生活,http://42.176.185.28:9901/tsfile/live/1006_1.m3u8
辽宁经济,http://42.176.185.28:9901/tsfile/live/1009_1.m3u8
辽宁都市,http://42.176.185.28:9901/tsfile/live/1005_1.m3u8
锦州教育,http://stream.jzgbdst.cn/2/sd/live.m3u8
锦州新闻综合,http://stream.jzgbdst.cn/1/sd/live.m3u8

🇨🇳｜央视频道,#genre#
CCTV1,http://live.aikan.miguvideo.com/wd_r2/cctv/cctv1hd/2500/index.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=110.184.31.110&timestamp=20220913144756&encrypt=5c7df915991c8d67a75815f766acce64&ContentId=265183188&timezone=UTC$超清1080P
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV1,http://yingliu.8866.org:8181/tsfile/live/0001_1.m3u8$超清1080P
CCTV1,http://111.20.33.70/PLTV/88888893/224/3221226010/index.m3u8$超清1080P
CCTV1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8$超清1080P
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT$超清1080P
CCTV1,http://117.169.120.242:8080/wh7f454c46tw1490432856_1716888660/hwrr.jx.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8?icpid=88888888&RTS=1663085841&from=79102&ocs=2_117.169.120.136_8080&hms_devid=1403&online=1663085841&vqe=3$超清1080P
